fecha,nivel_m,caudal_m3s,lluvia_mm,desbordamiento_txt,overflow
2022-01-27,0.91,25.6,0.0,NO,0
2022-01-28,0.91,25.8,0.0,NO,0
2022-01-29,0.92,21.4,0.0,NO,0
2022-01-30,0.92,20.9,0.0,NO,0
2022-01-31,0.88,22.4,1.8,NO,0
2022-02-01,0.87,21.4,0.2,NO,0
2022-02-02,0.87,21.5,0.0,NO,0
2022-02-03,1.0,30.2,0.0,NO,0
2022-02-04,1.02,27.6,0.0,NO,0
2022-02-05,0.9,26.6,0.0,NO,0
2022-02-06,0.89,21.6,0.0,NO,0
2022-02-07,0.89,25.4,0.0,NO,0
2022-02-08,0.84,18.0,0.0,NO,0
2022-02-09,0.84,18.8,0.0,NO,0
2022-02-10,0.84,18.8,0.2,NO,0
2022-02-11,0.85,19.5,0.0,NO,0
2022-02-12,0.83,18.4,0.0,NO,0
2022-02-13,0.84,18.8,0.0,NO,0
2022-02-14,0.84,19.4,0.6,NO,0
2022-02-15,0.84,19.5,0.2,NO,0
2022-02-16,0.84,19.5,0.0,NO,0
2022-02-17,0.84,19.6,0.0,NO,0
2022-02-18,0.84,19.7,0.0,NO,0
2022-02-19,0.85,20.5,0.0,NO,0
2022-02-20,0.84,19.7,0.0,NO,0
2022-02-21,0.92,18.4,0.0,NO,0
2022-02-22,0.91,18.8,0.0,NO,0
2022-02-23,0.83,18.8,0.8,NO,0
2022-02-24,0.83,18.8,0.0,NO,0
2022-02-25,0.83,18.6,0.8,NO,0
2022-02-26,0.83,18.0,0.6,NO,0
2022-02-27,0.81,16.9,0.0,NO,0
2022-02-28,0.82,18.4,0.0,NO,0
2022-03-01,0.83,18.8,2.4,NO,0
2022-03-02,0.84,18.8,1.0,NO,0
2022-03-03,0.85,21.8,14.0,NO,0
2022-03-04,1.05,41.7,0.6,NO,0
2022-03-05,1.28,57.8,0.0,NO,0
2022-03-06,1.15,50.5,0.4,NO,0
2022-03-07,1.03,40.4,0.4,NO,0
2022-03-08,0.97,36.5,0.2,NO,0
2022-03-09,0.9,26.9,3.2,NO,0
2022-03-10,0.93,32.7,0.6,NO,0
2022-03-11,0.9,27.7,0.4,NO,0
2022-03-12,0.97,36.1,5.2,NO,0
2022-03-13,0.95,34.2,0.0,NO,0
2022-03-14,0.98,37.2,0.8,NO,0
2022-03-15,1.01,39.7,0.0,NO,0
2022-03-16,1.04,40.6,0.0,NO,0
2022-03-17,1.0,39.6,1.2,NO,0
2022-03-18,1.07,41.6,0.0,NO,0
2022-03-19,1.03,40.8,0.0,NO,0
2022-03-20,1.02,40.4,0.0,NO,0
2022-03-21,1.04,39.9,0.0,NO,0
2022-03-22,0.98,29.3,0.0,NO,0
2022-03-23,0.98,29.9,0.0,NO,0
2022-03-24,0.92,24.9,0.4,NO,0
2022-03-25,0.89,20.3,0.4,NO,0
2022-03-26,0.92,24.9,0.0,NO,0
2022-03-27,0.97,33.5,0.0,NO,0
2022-03-28,0.91,27.8,0.0,NO,0
2022-03-29,0.86,19.3,2.4,NO,0
2022-03-30,0.9,24.0,2.0,NO,0
2022-03-31,0.88,22.0,0.4,NO,0
2022-04-01,0.92,28.5,13.8,NO,0
2022-04-02,0.95,34.0,4.0,NO,0
2022-04-03,0.99,37.3,0.0,NO,0
2022-04-04,1.03,41.0,0.0,NO,0
2022-04-05,1.12,43.9,0.0,NO,0
2022-04-06,1.11,47.3,0.0,NO,0
2022-04-07,1.19,54.5,0.4,NO,0
2022-04-08,1.33,71.5,6.6,NO,0
2022-04-09,1.42,78.4,0.0,NO,0
2022-04-10,1.24,57.1,0.0,NO,0
2022-04-11,1.04,42.9,7.2,NO,0
2022-04-12,1.02,42.2,6.8,NO,0
2022-04-13,1.0,38.0,0.0,NO,0
2022-04-14,0.98,36.5,0.0,NO,0
2022-04-15,0.91,27.2,0.0,NO,0
2022-04-16,0.91,27.6,0.0,NO,0
2022-04-17,0.9,26.2,0.0,NO,0
2022-04-18,0.91,27.4,3.6,NO,0
2022-04-19,0.92,19.7,5.0,NO,0
2022-04-20,1.08,36.4,0.2,NO,0
2022-04-21,1.19,52.2,0.0,NO,0
2022-04-22,1.22,51.7,6.2,NO,0
2022-04-23,1.06,41.6,2.4,NO,0
2022-04-24,1.56,86.6,0.0,NO,0
2022-04-25,1.66,95.4,0.0,NO,0
2022-04-26,1.47,79.9,0.8,NO,0
2022-04-27,1.3,61.3,12.2,NO,0
2022-04-28,1.26,58.5,0.4,NO,0
2022-04-29,1.3,58.7,0.0,NO,0
2022-04-30,1.26,55.4,0.0,NO,0
2022-05-01,1.19,52.0,0.0,NO,0
2022-05-02,1.03,38.7,0.2,NO,0
2022-05-03,1.02,38.1,0.0,NO,0
2022-05-04,1.02,37.4,0.0,NO,0
2022-05-05,1.02,37.7,0.0,NO,0
2022-05-06,1.0,35.0,0.0,NO,0
2022-05-07,0.99,34.5,0.0,NO,0
2022-05-08,0.95,29.8,0.0,NO,0
2022-05-09,0.91,26.3,0.0,NO,0
2022-05-10,0.88,20.9,0.0,NO,0
2022-05-11,0.89,23.6,0.4,NO,0
2022-05-12,0.93,28.8,3.6,NO,0
2022-05-13,0.93,28.7,0.0,NO,0
2022-05-14,0.93,28.3,1.6,NO,0
2022-05-15,0.92,27.3,0.0,NO,0
2022-05-16,0.9,23.5,0.0,NO,0
2022-05-17,0.94,16.7,0.0,NO,0
2022-05-18,0.85,17.7,0.0,NO,0
2022-05-19,0.85,17.7,0.0,NO,0
2022-05-20,0.85,17.6,0.0,NO,0
2022-05-21,0.85,17.7,0.0,NO,0
2022-05-22,0.86,17.6,3.0,NO,0
2022-05-23,0.87,18.7,0.0,NO,0
2022-05-24,0.87,16.8,0.6,NO,0
2022-05-25,0.87,17.5,0.0,NO,0
2022-05-26,0.87,17.7,0.0,NO,0
2022-05-27,0.87,16.6,0.0,NO,0
2022-05-28,0.86,16.2,0.0,NO,0
2022-05-29,0.89,16.4,0.0,NO,0
2022-05-30,0.88,16.1,0.0,NO,0
2022-05-31,0.9,16.3,0.0,NO,0
2022-06-01,0.88,16.0,0.0,NO,0
2022-06-02,0.87,16.1,0.0,NO,0
2022-06-03,0.92,15.9,0.0,NO,0
2022-06-04,0.97,16.1,0.0,NO,0
2022-06-05,0.97,15.6,0.0,NO,0
2022-06-06,0.97,15.7,0.0,NO,0
2022-06-07,0.94,16.4,0.0,NO,0
2022-06-08,0.94,22.1,0.0,NO,0
2022-06-09,0.99,23.7,0.0,NO,0
2022-06-10,0.98,21.2,0.0,NO,0
2022-06-11,0.99,24.8,0.0,NO,0
2022-06-12,0.95,20.4,0.0,NO,0
2022-06-13,0.96,20.2,0.0,NO,0
2022-06-14,0.96,20.9,0.0,NO,0
2022-06-15,0.98,22.4,0.0,NO,0
2022-06-16,0.94,20.3,0.0,NO,0
2022-06-17,1.02,26.0,0.0,NO,0
2022-06-18,1.06,27.8,0.0,NO,0
2022-06-19,1.04,27.6,0.0,NO,0
2022-06-20,1.02,25.9,0.0,NO,0
2022-06-21,0.99,24.3,0.0,NO,0
2022-06-22,0.99,23.1,0.0,NO,0
2022-06-23,0.99,23.1,0.0,NO,0
2022-06-24,0.99,23.2,0.0,NO,0
2022-06-25,0.99,23.3,0.0,NO,0
2022-06-26,1.01,24.2,0.0,NO,0
2022-06-27,1.0,23.2,0.0,NO,0
2022-06-28,1.0,24.2,0.0,NO,0
2022-06-29,1.0,25.2,0.0,NO,0
2022-06-30,1.02,25.5,0.0,NO,0
2022-07-01,1.02,26.6,0.0,NO,0
2022-07-02,1.06,27.3,0.0,NO,0
2022-07-03,1.08,28.4,0.0,NO,0
2022-07-04,1.12,28.3,0.0,NO,0
2022-07-05,1.08,26.5,0.0,NO,0
2022-07-06,1.02,24.1,0.0,NO,0
2022-07-07,1.0,21.4,0.0,NO,0
2022-07-08,0.94,16.6,0.0,NO,0
2022-07-09,0.92,14.5,0.0,NO,0
2022-07-10,0.93,15.9,0.0,NO,0
2022-07-11,0.97,20.0,0.0,NO,0
2022-07-12,1.02,26.2,0.0,NO,0
2022-07-13,1.14,28.2,0.0,NO,0
2022-07-14,1.08,31.6,0.0,NO,0
2022-07-15,1.06,30.4,0.0,NO,0
2022-07-16,1.07,32.5,0.0,NO,0
2022-07-17,1.1,35.7,0.0,NO,0
2022-07-18,1.25,39.9,0.0,NO,0
2022-07-19,1.34,39.4,0.0,NO,0
2022-07-20,1.33,39.5,0.0,NO,0
2022-07-21,1.32,38.9,0.0,NO,0
2022-07-22,1.2,37.6,0.0,NO,0
2022-07-23,1.13,35.0,0.0,NO,0
2022-07-24,1.12,33.1,0.0,NO,0
2022-07-25,1.09,31.2,0.0,NO,0
2022-07-26,1.1,31.2,0.0,NO,0
2022-07-27,1.09,30.8,0.0,NO,0
2022-07-28,1.12,30.8,0.0,NO,0
2022-07-29,1.19,32.4,0.0,NO,0
2022-07-30,1.13,34.5,0.0,NO,0
2022-07-31,1.13,34.6,0.0,NO,0
2022-08-01,1.13,34.6,0.0,NO,0
2022-08-02,1.13,34.6,0.0,NO,0
2022-08-03,1.13,33.8,0.0,NO,0
2022-08-04,1.14,34.0,0.0,NO,0
2022-08-05,1.14,34.1,0.0,NO,0
2022-08-06,1.15,35.3,0.0,NO,0
2022-08-07,1.15,34.4,0.0,NO,0
2022-08-08,1.15,34.4,0.0,NO,0
2022-08-09,1.16,34.5,0.0,NO,0
2022-08-10,1.18,34.4,0.0,NO,0
2022-08-11,1.17,34.7,0.0,NO,0
2022-08-12,1.15,34.9,0.0,NO,0
2022-08-13,1.16,34.9,0.0,NO,0
2022-08-14,1.16,34.9,0.0,NO,0
2022-08-15,1.15,34.4,0.0,NO,0
2022-08-16,1.15,33.8,0.0,NO,0
2022-08-17,1.15,33.8,0.0,NO,0
2022-08-18,1.15,33.8,0.0,NO,0
2022-08-19,1.16,35.0,0.0,NO,0
2022-08-20,1.16,35.9,0.0,NO,0
2022-08-21,1.16,35.9,0.0,NO,0
2022-08-22,1.17,35.9,0.0,NO,0
2022-08-23,1.17,35.9,0.0,NO,0
2022-08-24,1.17,35.6,0.0,NO,0
2022-08-25,1.16,33.7,0.0,NO,0
2022-08-26,1.16,33.7,0.0,NO,0
2022-08-27,1.16,33.7,0.0,NO,0
2022-08-28,1.16,33.7,0.0,NO,0
2022-08-29,1.14,32.6,0.0,NO,0
2022-08-30,1.12,31.3,0.0,NO,0
2022-08-31,1.07,25.9,0.0,NO,0
2022-09-01,1.03,21.6,0.0,NO,0
2022-09-02,1.02,20.0,0.0,NO,0
2022-09-03,1.01,20.1,0.0,NO,0
2022-09-04,1.02,22.0,0.0,NO,0
2022-09-05,1.05,25.3,0.0,NO,0
