fecha,nivel_m,caudal_m3s,lluvia_mm,desbordamiento,caudal_log,nivel_lag1,caudal_lag1,nivel_lag2,caudal_lag2,lluvia_3d,lluvia_7d,lluvia_media_7d,nivel_diff,caudal_diff,nivel_media_3,caudal_media_3,nivel_media_7,caudal_media_7,dia_sin,dia_cos
2023-07-22,0.85,18.63,0.0,0,2.9770590082883697,0.85,2.9770590082883697,0.85,2.9770590082883697,0.599999999999993,0.599999999999993,0.08571428571428472,0.0,0.0,0.85,18.63,0.8471428571428572,18.451428571428572,-0.3366372842469099,-0.941634397659126
2023-07-23,0.85,18.63,0.0,0,2.9770590082883697,0.85,2.9770590082883697,0.85,2.9770590082883697,0.1999999999999929,0.599999999999993,0.08571428571428472,0.0,0.0,0.85,18.63,0.8528571428571429,18.81,-0.35275208654909473,-0.9357168190404936
2023-07-24,0.85,18.63,0.2,0,2.9770590082883697,0.85,2.9770590082883697,0.85,2.9770590082883697,0.1999999999999929,0.7999999999999929,0.11428571428571328,0.0,0.0,0.85,18.63,0.8528571428571429,18.81,-0.36876293119226006,-0.9295234803804003
2023-07-25,0.85,18.63,0.0,0,2.9770590082883697,0.85,2.9770590082883697,0.85,2.9770590082883697,0.1999999999999929,0.7999999999999929,0.11428571428571328,0.0,0.0,0.85,18.63,0.8514285714285714,18.72,-0.38466509970700097,-0.9230562068841761
2023-07-26,0.85,18.63,0.0,0,2.9770590082883697,0.85,2.9770590082883697,0.85,2.9770590082883697,0.1999999999999929,0.7999999999999929,0.11428571428571328,0.0,0.0,0.85,18.63,0.85,18.63,-0.40045390565126615,-0.9163169044870049
2023-07-27,0.85,18.63,0.0,0,2.9770590082883697,0.85,2.9770590082883697,0.85,2.9770590082883697,0.0,0.3999999999999929,0.05714285714285613,0.0,0.0,0.85,18.63,0.85,18.63,-0.4161246959914748,-0.9093075592922356
2023-07-28,0.85,18.63,0.0,0,2.9770590082883697,0.85,2.9770590082883697,0.85,2.9770590082883697,0.0,0.1999999999999929,0.028571428571427557,0.0,0.0,0.85,18.63,0.85,18.63,-0.431672852473784,-0.9020302369860707
2023-07-29,0.85,18.63,0.0,0,2.9770590082883697,0.85,2.9770590082883697,0.85,2.9770590082883697,0.0,0.1999999999999929,0.028571428571427557,0.0,0.0,0.85,18.63,0.85,18.63,-0.44709379298511404,-0.8944870822287955
2023-07-30,0.85,18.63,0.0,0,2.9770590082883697,0.85,2.9770590082883697,0.85,2.9770590082883697,0.0,0.1999999999999929,0.028571428571427557,0.0,0.0,0.85,18.63,0.85,18.63,-0.4623829729035149,-0.88668031802274
2023-07-31,0.86,19.26,0.0,0,3.0086484988205373,0.85,2.9770590082883697,0.85,2.9770590082883697,0.0,0.0,0.0,0.010000000000000009,0.6300000000000026,0.8533333333333332,18.840000000000007,0.8514285714285714,18.72,-0.4775358864374881,-0.8786122450571483
2023-08-01,0.86,19.26,0.0,0,3.0086484988205373,0.86,3.0086484988205373,0.85,2.9770590082883697,0.0,0.0,0.0,0.0,0.0,0.8566666666666666,19.050000000000008,0.8528571428571429,18.81,-0.4925480679538642,-0.8702852410301554
2023-08-02,0.85,18.63,0.0,0,2.9770590082883697,0.86,3.0086484988205373,0.86,3.0086484988205373,0.0,0.0,0.0,-0.010000000000000009,-0.6300000000000026,0.8566666666666666,19.050000000000008,0.8528571428571429,18.81,-0.5074150932938452,-0.8617017599480683
2023-08-03,0.85,18.63,1.0,0,2.9770590082883697,0.85,2.9770590082883697,0.86,3.0086484988205373,0.9999999999999929,0.9999999999999929,0.14285714285714185,0.0,0.0,0.8533333333333334,18.840000000000007,0.8528571428571429,18.81,-0.5221325810768248,-0.8528643314021597
2023-08-04,0.85,18.63,0.4,0,2.9770590082883697,0.85,2.9770590082883697,0.85,2.9770590082883697,1.3999999999999928,1.3999999999999928,0.19999999999999898,0.0,0.0,0.85,18.63,0.8528571428571429,18.81,-0.5366961939916003,-0.8437755598231858
2023-08-05,0.86,19.26,0.0,0,3.0086484988205373,0.85,2.9770590082883697,0.85,2.9770590082883697,1.3999999999999928,1.3999999999999928,0.19999999999999898,0.010000000000000009,0.6300000000000026,0.8533333333333334,18.840000000000007,0.8542857142857143,18.900000000000002,-0.5511016400745998,-0.8344381237138474
2023-08-06,0.86,19.26,0.0,0,3.0086484988205373,0.86,3.0086484988205373,0.85,2.9770590082883697,0.3999999999999929,1.3999999999999928,0.19999999999999898,0.0,0.0,0.8566666666666666,19.050000000000008,0.8557142857142856,18.990000000000002,-0.5653446739747425,-0.8248547748594246
2023-08-07,0.86,19.26,0.0,0,3.0086484988205373,0.86,3.0086484988205373,0.86,3.0086484988205373,0.0,1.3999999999999928,0.19999999999999898,0.0,0.0,0.86,19.26,0.8557142857142858,18.990000000000002,-0.5794210982045637,-0.8150283375168114
2023-08-08,0.85,18.63,0.0,0,2.9770590082883697,0.86,3.0086484988205373,0.86,3.0086484988205373,0.0,1.3999999999999928,0.19999999999999898,-0.010000000000000009,-0.6300000000000026,0.8566666666666668,19.050000000000008,0.8542857142857142,18.900000000000002,-0.5933267643772321,-0.8049617075821958
2023-08-09,1.1,35.52,0.0,0,3.597860055726768,0.85,2.9770590082883697,0.86,3.0086484988205373,0.0,1.3999999999999928,0.19999999999999898,0.2500000000000001,16.890000000000004,0.9366666666666666,24.47000000000001,0.89,21.312857142857144,-0.6070575744291004,-0.794657851737625
