fecha,nivel_m,caudal_m3s,desbordamiento,lluvia,lluvia_mm,nivel_interpolado,caudal_interpolado,lluvia_interpolada,dato_original_completo,municipio_Arroyo,municipio_Asco,municipio_Castejon,municipio_Logroño,municipio_Mendavia,municipio_Miranda del Ebro,municipio_Palazuelos,municipio_Reinosa-Nestares,municipio_Riosequillo,municipio_Tortosa,municipio_Tudela,municipio_Zaragoza
2020-04-12,0.25,1.37,0.0,12.8,12.8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-13,0.27,1.56,0.0,5.8,5.8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-14,0.25,1.37,0.0,11.0,11.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-15,0.25,1.37,0.0,2.2,2.2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-16,0.25,1.37,0.0,7.6,7.6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-17,0.25,1.37,0.0,6.6,6.6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-18,0.24,1.28,0.0,0.6,0.6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-19,0.24,1.28,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-20,0.24,1.28,0.0,2.0,2.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-21,0.24,1.28,0.0,1.8,1.8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-22,0.24,1.28,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-23,0.24,1.28,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-24,0.24,1.28,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-25,0.24,1.28,0.0,1.8,1.8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-26,0.25,1.37,0.0,19.4,19.4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-27,0.25,1.37,0.0,2.4,2.4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-28,0.24,1.28,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-29,0.24,1.28,0.0,0.2,0.2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-30,0.24,1.28,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-01,0.24,1.28,0.0,1.6,1.6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-02,0.24,1.28,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-03,0.24,1.28,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-04,0.24,1.28,0.0,0.6,0.6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-05,0.24,1.28,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-06,0.24,1.28,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-07,0.24,1.28,0.0,5.4,5.4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-08,0.24,1.28,0.0,4.2,4.2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-09,0.24,1.28,0.0,1.6,1.6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-10,0.24,1.28,0.0,2.6,2.6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-11,0.24,1.28,0.0,0.6,0.6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-12,0.24,1.28,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-13,0.24,1.28,0.0,2.0,2.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-14,0.24,1.28,0.0,2.4,2.4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-15,0.24,1.28,0.0,0.8,0.8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-16,0.24,1.28,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-17,0.24,1.28,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-18,0.26,1.46,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-19,0.27,1.56,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-20,0.27,1.56,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-21,0.62,7.5,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-22,0.3,1.84,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-23,0.27,1.56,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-24,0.27,1.56,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
